localDate,instrument,barValue,barType,daysLoaded,LookbackSetting,LookbackSources,SwingStrength,VolOffSetCheck,VolOffsetRatio
2020061921,NQ 06-20,60,60 Minute,180,7142128,daysAgo,5,True,1.5
CurrentBar,Time,Open,High,Low,Close,TrendPlot,BarsToNextSignal,BarsFromPreviousSignal,SignalPattern,BuySignalStopLine,SellSignalStopLine,DotPrice,OpenPrice
1552,3/27/2020 2:00:00 PM,7572.25,7597,7551.25,7561,7490.77591703993,3,0,4,0,7959.5,7959.5,7572.25
1553,3/29/2020 4:00:00 PM,7395.75,7507.25,7365,7441.5,7491.9366456839,2,1,4,0,7959.5,7959.5,7572.25
1554,3/29/2020 5:00:00 PM,7442.5,7493.75,7430.5,7465,7491.10298211887,1,2,4,0,7959.5,7959.5,7572.25
1555,3/29/2020 6:00:00 PM,7467,7500,7455.75,7475,7490.67152786898,8,0,1,7273.5,7959.5,7273.5,7467
1556,3/29/2020 7:00:00 PM,7478,7499.5,7456.5,7490.5,7490.41249435048,7,1,1,7273.5,0,7273.5,7467
1557,3/29/2020 8:00:00 PM,7489.5,7545,7483,7518.5,7490.41394072485,6,2,1,7273.5,0,7273.5,7467
1558,3/29/2020 9:00:00 PM,7519.75,7554.75,7503,7546,7490.87817310957,5,3,1,7273.5,0,7273.5,7467
1559,3/29/2020 10:00:00 PM,7547,7607.5,7544.25,7596,7491.78927768627,4,4,1,7273.5,0,7273.5,7467
1560,3/29/2020 11:00:00 PM,7596.25,7690,7587.5,7668.75,7493.51176896418,3,5,1,7273.5,0,7273.5,7467
1561,3/30/2020 12:00:00 AM,7668,7670.25,7572.25,7597.75,7496.40826865072,2,6,1,7273.5,0,7273.5,7467
1562,3/30/2020 1:00:00 AM,7599.25,7643.25,7492,7502.25,7498.08333859038,1,7,1,7273.5,0,7273.5,7467
1563,3/30/2020 2:00:00 AM,7503.75,7598.75,7502.25,7576.75,7498.15220902691,3,0,2,7273.5,7783,7783,7503.75
1564,3/30/2020 3:00:00 AM,7576.25,7620,7536.5,7556.25,7499.45134606778,2,1,2,0,7783,7783,7503.75
1565,3/30/2020 4:00:00 AM,7553.5,7609.25,7551.5,7598.25,7500.39016679394,1,2,2,0,7783,7783,7503.75
1566,3/30/2020 5:00:00 AM,7596.75,7622.5,7575.5,7602.25,7502.00768469817,2,0,1,0,7783,7420.75,7596.75
1567,3/30/2020 6:00:00 AM,7602.75,7677.5,7584.75,7676.75,7503.66458247175,1,1,1,0,0,7420.75,7596.75
1568,3/30/2020 7:00:00 AM,7676.75,7712.5,7630,7686.5,7506.52549846396,2,0,2,0,7802,7802,7676.75
1569,3/30/2020 8:00:00 AM,7688.25,7796.5,7675,7764,7509.50028361331,1,1,2,0,7802,7802,7676.75
1570,3/30/2020 9:00:00 AM,7763.75,7829.75,7757,7806.5,7513.70689049574,2,0,5,0,7802,7542.25,7763.75
